year,region,value
2067,Rest of Thailand,48693375.000429794
2068,Thailand,55187213.630372494
2068,Bangkok,4659520.3495702
2068,Nonthaburi,1064563.8825214899
2068,Samut Prakan,1126877.905444126
2068,Rest of Thailand,48336251.492836684
2069,Thailand,54779473.04856733
2069,Bangkok,4625094.340114613
2069,Nonthaburi,1056698.5479942693
2069,Samut Prakan,1118552.1752148997
2069,Rest of Thailand,47979127.985243544
2070,Thailand,54371732.46676218
2070,Bangkok,4590668.330659025
2070,Nonthaburi,1048833.2134670487
2070,Samut Prakan,1110226.4449856733
2070,Rest of Thailand,47622004.477650434
2071,Thailand,53963991.88495702
2071,Bangkok,4556242.321203439
2071,Nonthaburi,1040967.8789398281
2071,Samut Prakan,1101900.714756447
2071,Rest of Thailand,47264880.97005731
2072,Thailand,53556251.30315186
2072,Bangkok,4521816.311747851
2072,Nonthaburi,1033102.5444126074
2072,Samut Prakan,1093574.9845272205
2072,Rest of Thailand,46907757.46246418
2073,Thailand,53148510.721346706
2073,Bangkok,4487390.302292263
2073,Nonthaburi,1025237.2098853869
2073,Samut Prakan,1085249.2542979943
2073,Rest of Thailand,46550633.95487106
2074,Thailand,52740770.13954155
2074,Bangkok,4452964.292836676
2074,Nonthaburi,1017371.8753581662
2074,Samut Prakan,1076923.524068768
2074,Rest of Thailand,46193510.44727795
2075,Thailand,52333029.55773639
2075,Bangkok,4418538.283381089
2075,Nonthaburi,1009506.5408309456
2075,Samut Prakan,1068597.7938395415
2075,Rest of Thailand,45836386.93968481
2076,Thailand,51985065.64169169
2076,Bangkok,4389159.287032665
2076,Nonthaburi,1002794.3009283668
2076,Samut Prakan,1061492.6543862463
2076,Rest of Thailand,45531619.399344414
2077,Thailand,51637101.72564699
2077,Bangkok,4359780.290684241
2077,Nonthaburi,996082.061025788
2077,Samut Prakan,1054387.5149329512
2077,Rest of Thailand,45226851.859004006
2078,Thailand,51289137.80960229
2078,Bangkok,4330401.294335816
2078,Nonthaburi,989369.8211232092
2078,Samut Prakan,1047282.3754796562
2078,Rest of Thailand,44922084.31866361
2079,Thailand,50941173.89355759
2079,Bangkok,4301022.297987392
2079,Nonthaburi,982657.5812206304
2079,Samut Prakan,1040177.236026361
2079,Rest of Thailand,44617316.77832321
2080,Thailand,50593209.977512896
2080,Bangkok,4271643.301638968
2080,Nonthaburi,975945.3413180516
